
"Subscriber Name","Plan Name","Subscriber ID",EMAIL,"Contact No","Plan Type",Amount,"Plan Status",Expiry,CREATED,Currency,"RENEW PERIOD"
batman,BASIC,h3wedf1Rou4s,batman@test.com,9898929282,"Jeethu Basic Plan",100.00,ACTIVE,"2021-06-27 13:12:04","2021-05-22 12:28:07",INR,MONTHLY
Test,PREMIUM,vFVba0DiMgTW,test2@mob.inn,,"Jeethu Premium Plan",425.00,CANCEL,"2020-03-30 00:00:00","2021-02-26 09:56:13",INR,MONTHLY
Test1,PREMIUM,h2NKaF7jkcMJ,Test1@mob.in,,"Jeethu Premium Plan",325.00,CANCEL,"2021-07-06 00:00:00","2021-02-26 09:31:01",INR,MONTHLY
Gurugale,PREMIUM,TUulhuKLaJbO,Gurji@mobi.com,,"Jeethu Premium Plan",300.00,ACTIVE,"2022-03-28 04:59:07","2021-02-26 04:58:45",INR,YEARLY
"Jeethu Gogo End Point",PREMIUM,CoVNwqXQ8I92,Jeethu@gogo.end,,"Jeethu Premium Plan",,ACTIVE,"2021-03-13 04:39:26","2021-02-26 04:39:16",INR,MONTHLY
Test,PREMIUM,YxODB5StDXkF,gogo@mob.com,,"Jeethu Premium Plan",300.00,EXPIRED,"2021-03-26 07:49:13","2021-02-24 07:48:01",INR,MONTHLY
test2,BASIC,8z5OTP7XiSnK,test2@trial.com,,"Test Basic Plan",,TRIAL,"2020-09-28 09:26:58","2020-09-27 09:26:41",INR,MONTHLY
test,BASIC,uitQxjIsfRbo,test11@trial.com,,"Test Basic Plan",,TRIAL,"2020-09-28 09:24:00","2020-09-27 09:23:46",INR,MONTHLY
test,BASIC,MTGgs6PnhQ35,test1@trial.com,,"Test Basic Plan",,TRIAL,"2020-09-28 08:57:33","2020-09-27 08:57:25",INR,MONTHLY
trail,BASIC,J7CmQJc2OujD,test@trial.com,,"Test Basic Plan",,TRIAL,"2020-09-28 08:30:24","2020-09-27 08:30:10",INR,MONTHLY
Trail,BASIC,WAvpGBJ8XM3W,Trail4@gmail.com,,"Test Basic Plan",,TRIAL,"2020-09-28 07:49:51","2020-09-27 07:49:40",INR,MONTHLY
Trail,BASIC,V3WXFYBi206T,Trail3@gmail.com,,"Test Basic Plan",,TRIAL,"2020-09-28 07:46:05","2020-09-27 07:45:34",INR,MONTHLY
Trail,BASIC,ksw2xlrtAGxd,trail2@gmail.com,,"Test Basic Plan",,TRIAL,"2020-09-28 07:31:27","2020-09-27 07:31:18",INR,
Trail,BASIC,hoPVv7AkrmYO,tai1@mob.com,,"Test Basic Plan",,TRIAL,"2020-09-28 07:20:06","2020-09-27 07:19:57",INR,MONTHLY
Trail,BASIC,aqJygYEAj0Zq,tail@mob.com,6666666666666666666,Sudhir_Basic,100.00,ACTIVE,"2020-10-27 07:17:44","2020-09-27 07:07:48",INR,MONTHLY
purchased,BASIC,4QQRo52PyV1P,quality@mob.com,,Sudhir_Basic,100.00,ACTIVE,"2020-10-26 04:21:37","2020-09-25 10:00:36",INR,MONTHLY
test,BASIC,EiSJYYfmInlm,plans@relogin.com,,Sudhir_Basic,100.00,CANCEL,"2020-10-25 09:19:11","2020-09-25 09:18:48",INR,MONTHLY
Varun,PREMIUM,8DvOGFctaauC,varun@test.com,,Sudhir_Premium,299.00,EXPIRED,"2020-10-24 12:00:22","2020-09-24 11:53:55",INR,MONTHLY
