
EMAIL,"Subscriber Name","Subscriber ID","Contact No","Plan Name","Plan Type","Plan Status",Expiry,Currency,Amount,"RENEW PERIOD",CREATED
test11179@m.com,test,HrfC4FMEtyDb,7777777777,"Razorpay Basic",BASIC,ACTIVE,"2021-07-30 12:05:24",INR,50.00,MONTHLY,"2021-06-30 12:04:34"
testview@m.com,test,0JfGHal4FgC5,,"Razorpay Basic",BASIC,ACTIVE,"2021-07-30 11:54:54",INR,50.00,MONTHLY,"2021-06-30 11:54:32"
testsub@m.com,test,S6JvzzpHKpbR,,"Razorpay Basic",BASIC,ACTIVE,"2021-07-29 11:15:10",INR,50.00,MONTHLY,"2021-06-29 11:14:47"
test123@and.com,Test,RfXIC4ivLME3,,"testing price issue",BASIC,ACTIVE,"2021-07-28 06:45:03",INR,1.00,MONTHLY,"2021-06-28 06:44:39"
tesghhfcvv@m.com,test,GquDWpOZtf9Z,6304036033,"Razorpay Basic",BASIC,ACTIVE,"2021-07-16 18:30:00",INR,50.00,MONTHLY,"2021-06-17 09:27:40"
test11178@m.com,test,GgeguORcrPNB,7777777777,"Razorpay Basic",BASIC,ACTIVE,"2021-07-31 18:30:00",INR,50.00,MONTHLY,"2021-06-14 11:37:58"
test11177@m.com,test,mr2r1TVBYTeT,7777777777,"testing discount issue",BASIC,ACTIVE,"2021-07-31 18:30:00",INR,5.00,MONTHLY,"2021-06-14 09:08:17"
testyyb@m.com,test,Snxv8XXat46h,6304036033,"Razorpay Premium",PREMIUM,TRIAL,"2021-07-08 06:04:50",INR,,,"2021-06-11 13:51:59"
test11174@m.com,test,1HguubTI6M4k,7777777777,"razorpay Row",BASIC,ACTIVE,"2021-07-10 18:30:00",INR,40.00,MONTHLY,"2021-06-11 07:45:23"
test11173@m.com,test,DM7UD79WlJza,7777777777,"Jeethu Premium Plan",PREMIUM,ACTIVE,"2021-07-11 07:41:17",INR,425.00,MONTHLY,"2021-06-11 07:40:41"
test11172@m.com,test,Bwz27rCn7gtI,7777777777,"razorpay Row",BASIC,ACTIVE,"2021-07-11 07:35:36",INR,40.00,MONTHLY,"2021-06-11 07:35:13"
test11171@m.com,test,LhPNLIjKjoJD,7777777777,"Razorpay Premium",PREMIUM,ACTIVE,"2021-07-11 07:24:33",INR,80.00,MONTHLY,"2021-06-11 06:46:00"
testraznew@m.com,testrazor,eH4qW9NEjYDD,7777777777,"Razorpay Basic",BASIC,ACTIVE,"2021-07-09 18:30:00",INR,50.00,MONTHLY,"2021-06-10 05:59:05"
testrazor2@m.com,test,X0B8jbNLz6tt,7777777777,"Razorpay Basic",BASIC,ACTIVE,"2021-07-08 18:30:00",INR,50.00,MONTHLY,"2021-06-09 10:53:30"
testraz@m.com,test,VvlgyQ2HbEWu,1111111111,"Razorpay Basic",BASIC,CANCEL,"2021-07-08 18:30:00",INR,50.00,MONTHLY,"2021-06-09 07:57:47"
testrazor@m.com,test,M7uCusdyPW7h,7777777777,"Razorpay Basic",BASIC,ACTIVE,"2021-07-07 18:30:00",INR,50.00,MONTHLY,"2021-06-08 12:20:19"
tesusa@m.com,tr,DOAj5OrEy8aF,,"Razorpay Basic",BASIC,ACTIVE,"2021-07-29 11:12:54",INR,50.00,MONTHLY,"2021-06-07 08:48:58"
testgbg@m.com,test,4cJyVrLXp5V8,,"Razorpay Premium",PREMIUM,EXPIRED,"2021-06-22 08:39:15",INR,,MONTHLY,"2021-06-07 08:39:03"
test1117@m.com,test,L0kikIZePrj0,7777777777,"Razorpay Basic",BASIC,ACTIVE,"2021-07-07 18:30:00",INR,50.00,MONTHLY,"2021-06-04 11:43:59"
manojgvr@outlook.com,"Manoj Pachu",FVraZGqeWRxV,8281869085,"Razorpay Basic",BASIC,EXPIRED,"2021-07-01 18:30:00",INR,50.00,MONTHLY,"2021-06-02 14:32:48"
dask@oda.com,sjdqk,v6sv95SFNEA7,9645672817,"Razorpay Basic",BASIC,ACTIVE,"2021-07-28 08:32:29",INR,50.00,MONTHLY,"2021-06-02 12:11:27"
ironman@test.com,"Iron Man",K9RSf5pBv5g7,8899776655,"Jeethu Basic Plan",BASIC,EXPIRED,"2021-07-04 10:07:30",INR,100.00,MONTHLY,"2021-05-28 13:18:35"
batman@test.com,batman,h3wedf1Rou4s,9898929282,"Jeethu Basic Plan",BASIC,EXPIRED,"2021-06-27 13:12:04",INR,100.00,MONTHLY,"2021-05-22 12:28:07"
test2@mob.inn,Test,vFVba0DiMgTW,,"Jeethu Premium Plan",PREMIUM,EXPIRED,"2020-03-30 00:00:00",INR,425.00,MONTHLY,"2021-02-26 09:56:13"
Test1@mob.in,Test1,h2NKaF7jkcMJ,,"Jeethu Premium Plan",PREMIUM,EXPIRED,"2021-03-28 09:38:02",INR,325.00,MONTHLY,"2021-02-26 09:31:01"
Gurji@mobi.com,Gurugale,TUulhuKLaJbO,,"Jeethu Premium Plan",PREMIUM,ACTIVE,"2022-03-28 04:59:07",INR,300.00,YEARLY,"2021-02-26 04:58:45"
Jeethu@gogo.end,"Jeethu Gogo End Point",CoVNwqXQ8I92,,"Jeethu Premium Plan",PREMIUM,EXPIRED,"2021-03-13 04:39:26",INR,,MONTHLY,"2021-02-26 04:39:16"
gogo@mob.com,Test,YxODB5StDXkF,,"Jeethu Premium Plan",PREMIUM,EXPIRED,"2021-03-26 07:49:13",INR,300.00,MONTHLY,"2021-02-24 07:48:01"
test2@trial.com,test2,8z5OTP7XiSnK,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-28 09:26:58",INR,,MONTHLY,"2020-09-27 09:26:41"
test11@trial.com,test,uitQxjIsfRbo,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-28 09:24:00",INR,,MONTHLY,"2020-09-27 09:23:46"
test1@trial.com,test,MTGgs6PnhQ35,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-28 08:57:33",INR,,MONTHLY,"2020-09-27 08:57:25"
test@trial.com,trail,J7CmQJc2OujD,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-28 08:30:24",INR,,MONTHLY,"2020-09-27 08:30:10"
Trail4@gmail.com,Trail,WAvpGBJ8XM3W,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-28 07:49:51",INR,,MONTHLY,"2020-09-27 07:49:40"
Trail3@gmail.com,Trail,V3WXFYBi206T,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-28 07:46:05",INR,,MONTHLY,"2020-09-27 07:45:34"
trail2@gmail.com,Trail,ksw2xlrtAGxd,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-28 07:31:27",INR,,,"2020-09-27 07:31:18"
tai1@mob.com,Trail,hoPVv7AkrmYO,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-28 07:20:06",INR,,MONTHLY,"2020-09-27 07:19:57"
tail@mob.com,Trail,aqJygYEAj0Zq,6666666666666666666,Sudhir_Basic,BASIC,EXPIRED,"2020-10-27 07:17:44",INR,100.00,MONTHLY,"2020-09-27 07:07:48"
quality@mob.com,purchased,4QQRo52PyV1P,,Sudhir_Basic,BASIC,EXPIRED,"2020-10-26 04:21:37",INR,100.00,MONTHLY,"2020-09-25 10:00:36"
plans@relogin.com,test,EiSJYYfmInlm,,Sudhir_Basic,BASIC,EXPIRED,"2020-10-25 09:19:11",INR,100.00,MONTHLY,"2020-09-25 09:18:48"
varun@test.com,Varun,8DvOGFctaauC,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-10-24 12:00:22",INR,299.00,MONTHLY,"2020-09-24 11:53:55"
web@gmail1.com,"Web Test",sC3UxvrmaxFK,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-11-23 06:18:02",INR,299.00,MONTHLY,"2020-09-24 06:13:19"
web@gmail.com,"web Testing",C247vQBL48y8,,Sudhir_Basic,BASIC,EXPIRED,"2020-10-24 05:39:46",INR,100.00,MONTHLY,"2020-09-24 05:36:32"
rev5@mob.com,"Test API Automatio",5aIGqd0Ozqo5,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-10-23 05:08:42",INR,299.00,MONTHLY,"2020-09-22 11:08:58"
c@cc.ccc,Jithendra,BkX6Xqbjh6fR,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-22 10:38:57",INR,49.00,MONTHLY,"2020-09-22 09:47:41"
test@premier.co,test,cXyuQr3LpW9w,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-22 06:24:06",INR,49.00,MONTHLY,"2020-09-22 05:40:57"
rev4@mob.com,Jeethu,9C3QkGMYQNns,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-23 09:49:20",INR,,,"2020-09-22 05:30:40"
rev3@mob.com,rev2,UG4CCNNYZnaC,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-22 05:55:14",INR,49.00,MONTHLY,"2020-09-22 05:23:19"
rev2@mob.com,"Jithendra Kumar ",0WFPBhtqaPSv,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-22 06:15:14",INR,49.00,MONTHLY,"2020-09-22 05:15:02"
rev1@mob.com,rev,dQqwdjxLGPNO,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-22 05:50:14",INR,149.00,YEARLY,"2020-09-22 04:29:24"
testpwa1001@gmail.com,"Jeethu Test was the way I can do this for a",VRup9KmSR3Vl,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-21 06:10:36",INR,49.00,MONTHLY,"2020-09-21 05:31:47"
plans1@test.com,plans1,4BTu1Zx1Bmdp,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-19 11:13:14",INR,,MONTHLY,"2020-09-18 11:13:07"
plans@test.com,akshata,zOba1x8CCTOj,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-19 08:19:18",INR,,MONTHLY,"2020-09-18 08:18:34"
signup@plan.com,akshata,OH5gX3mEKw3P,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-19 07:37:31",INR,,MONTHLY,"2020-09-18 04:42:15"
Test@web1.com,Test,Pcd6T82NHt3m,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-17 12:52:59",INR,,MONTHLY,"2020-09-16 12:50:56"
test@webi.com,Jeethu,DJiYe4bCojaZ,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-17 11:56:33",INR,,MONTHLY,"2020-09-16 11:56:17"
test@ivcgnactive.com,CANCEL,0AujBwJ0gdgN,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-17 12:54:21",INR,,,"2020-09-15 07:13:43"
jeethu301095@gmail.com,"Jeethu Gowda",GmK2ZnBYphrq,,Sudhir_Premium,PREMIUM,CANCEL,"2021-09-19 05:47:38",INR,399.00,YEARLY,"2020-09-11 12:24:05"
web@jee.com,Test,YAVSW1Ew6RvT,,"Test Basic Plan",BASIC,EXPIRED,"2020-10-11 11:09:21",INR,49.00,MONTHLY,"2020-09-11 11:05:14"
test@paymentid.com,Jeethu,XFyBalfJ37vb,,Sudhir_Basic,BASIC,EXPIRED,"2020-10-11 10:58:04",INR,100.00,MONTHLY,"2020-09-11 10:57:48"
revsandbox1@gmail.com,test,Gc4BxAyAQahl,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-11 14:38:35",INR,49.00,MONTHLY,"2020-09-11 10:49:03"
hah@jsh.co,haha,P64vOhr7YMVT,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-11 09:59:29",INR,149.00,YEARLY,"2020-09-11 08:58:49"
test@year.com,yearly,T3QZJsGcB2Y4,,,,ACTIVE,"2020-09-11 08:30:32",,49.00,MONTHLY,"2020-09-11 08:11:01"
test@sub.comn,test,8uPnQ05YYWLs,,,,ACTIVE,"2020-09-11 07:55:24",,49.00,MONTHLY,"2020-09-11 07:46:11"
load@mob.com,"hi thanks again to the family who had been in",3FpYwjfuGkHJ,,Sudhir_Premium,PREMIUM,ACTIVE,"2021-11-08 13:17:55",INR,299.00,MONTHLY,"2020-09-09 13:16:51"
kk@hh.hh,kkkjjjhhh,57T1IscQ8lRU,,"Test Premium Plan",PREMIUM,EXPIRED,"2020-09-14 09:10:46",INR,,,"2020-09-09 09:10:27"
